product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
854775|WOMEN|0|78.00|GBP|United Kingdom|/uk/take-the-cake-8x10-frame/invt/854775|KATE SPADE|KATE SPADE|20170222|0
144747|WOMEN|0|20.00|GBP|United Kingdom|/uk/thanks-from-the-mr+mrs-card-set-/invt/144747|KATE SPADE|KATE SPADE|20170222|0
l836128|WOMEN|0|34.00|GBP|United Kingdom|/uk/grace-avenue-ringholder/invt/l836128|KATE SPADE|KATE SPADE|20170222|0
134130|WOMEN|0|20.00|GBP|United Kingdom|/uk/bow-push-pins/invt/134130|KATE SPADE|KATE SPADE|20170222|0
pxru5975-001|WOMEN|0|228.00|EUR|France|/uk/cedar-street-harmony-crossbody/invt/pxru5975-001|KATE SPADE|KATE SPADE|20170222|0
pwru4447-001|WOMEN|45.00|24.00|EUR|France|/uk/cedar-street-hanging-tag/invt/pwru4447-001|KATE SPADE|KATE SPADE|20170222|45.00
pwru5111|WOMEN|115.00|59.00|EUR|France|/uk/cedar-street-floral-miri/invt/pwru5111|KATE SPADE|KATE SPADE|20170222|115.00
pwru4027|WOMEN|0|50.00|EUR|France|/uk/cedar-street-card-holder/invt/pwru4027|KATE SPADE|KATE SPADE|20170222|0
pwru4065|WOMEN|0|168.00|EUR|France|/uk/wallets+wristlets-/cedar-street-lacey/invt/pwru4065|KATE SPADE|KATE SPADE|20170222|0
pwru4202|WOMEN|0|78.00|EUR|France|/uk/cedar-street-passport-holder/invt/pwru4202|KATE SPADE|KATE SPADE|20170222|0
pxru5390-001|WOMEN|0|215.00|EUR|France|/uk/matching-sets/classic-nylon-lyla-weekender/invt/pxru5390-001|KATE SPADE|KATE SPADE|20170222|0
pxru7183-231|WOMEN|0|295.00|EUR|Germany|/uk/totes/cameron-street-large-lucie/invt/pxru7183-231|KATE SPADE|KATE SPADE|20170222|0
pxru7445-001|WOMEN|0|268.00|EUR|Germany|/uk/cameron-street-little-babe/invt/pxru7445-001|KATE SPADE|KATE SPADE|20170222|0
pxru7522|WOMEN|0|178.00|EUR|Germany|/uk/cross-body/cameron-street-roses-clarise/invt/pxru7522|KATE SPADE|KATE SPADE|20170222|0
pxru7487|WOMEN|0|358.00|EUR|Germany|/uk/novelty/rambling-roses-monkey-casie/invt/pxru7487|KATE SPADE|KATE SPADE|20170222|0
pxru7445-437|WOMEN|0|268.00|EUR|Germany|/uk/cameron-street-little-babe/invt/pxru7445-437|KATE SPADE|KATE SPADE|20170222|0
pxru7183-433|WOMEN|0|295.00|EUR|Germany|/uk/totes/cameron-street-large-lucie/invt/pxru7183-433|KATE SPADE|KATE SPADE|20170222|0
5091312|WOMEN|0|75.00|GBP|United Kingdom|/uk/sleepwear/cropped-pj-set/invt/5091312|KATE SPADE|KATE SPADE|20170222|0
